,rank,title,rate
0,1,소년시절의 너,9.39
1,2,브레이크 더 사일런스: 더 무비,9.35
2,3,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.31
3,4,언더독,9.30
4,5,스파이더맨: 뉴 유니버스,9.20
5,6,톰보이,9.20
6,7,스타 이즈 본,9.18
7,8,제리 맥과이어,9.16
8,9,공범자들,9.10
9,10,타오르는 여인의 초상,9.06
10,11,박하사탕,9.03
11,12,서칭 포 슈가맨,9.03
12,13,미스터트롯: 더 무비,9.03
13,14,남매의 여름밤,9.02
14,15,윤희에게,8.98
15,16,아웃포스트,8.95
16,17,비투스,8.94
17,18,담보,8.85
18,19,너의 이름은.,8.78
19,20,벌새,8.76
20,21,본 투 비 블루,8.73
21,22,마미,8.69
22,23,찬실이는 복도 많지,8.68
23,24,삼진그룹 영어토익반,8.65
24,25,69세,8.63
25,26,라라랜드,8.61
26,27,기생충,8.49
27,28,아무르,8.48
28,29,로렌스 애니웨이 ,8.45
29,30,3:10 투 유마,8.42
30,31,검객,8.37
31,32,주디,8.35
32,33,리스본행 야간열차,8.31
33,34,테넷,8.27
34,35,경계선,8.17
35,36,프란시스 하,8.14
36,37,신문기자,8.10
37,38,위크엔드 인 파리,8.06
38,39,블레이드 러너 2049,7.99
39,40,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,7.98
40,41,환상의 빛,7.98
41,42,날씨의 아이,7.97
42,43,라붐,7.93
43,44,21 브릿지: 테러 셧다운,7.92
44,45,다만 악에서 구하소서,7.64
45,46,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,7.10
46,47,그린랜드,7.05
47,48,기기괴괴 성형수,6.85
48,49,언힌지드,6.67
49,50,디바,6.40
50,1,포드 V 페라리,9.49
51,2,소년시절의 너,9.40
52,3,브레이크 더 사일런스: 더 무비,9.35
53,4,다시 태어나도 우리,9.34
54,5,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.33
55,6,"미안해요, 리키",9.33
56,7,언더독,9.30
57,8,공동경비구역 JSA,9.27
58,9,우리들,9.26
59,10,피아니스트의 전설,9.25
60,11,스파이더맨: 뉴 유니버스,9.20
61,12,톰보이,9.20
62,13,스타 이즈 본,9.18
63,14,조조 래빗,9.16
64,15,제리 맥과이어,9.16
65,16,나이브스 아웃,9.11
66,17,타오르는 여인의 초상,9.06
67,18,올드보이,9.05
68,19,박하사탕,9.03
69,20,서칭 포 슈가맨,9.03
70,21,인생 후르츠,9.02
71,22,남매의 여름밤,9.02
72,23,미스터트롯: 더 무비,9.01
73,24,윤희에게,8.98
74,25,아웃포스트,8.95
75,26,비투스,8.94
76,27,바르다가 사랑한 얼굴들,8.89
77,28,담보,8.85
78,29,작은 아씨들,8.84
79,30,미드웨이,8.80
80,31,너의 이름은.,8.78
81,32,본 투 비 블루,8.73
82,33,마미,8.69
83,34,찬실이는 복도 많지,8.68
84,35,69세,8.63
85,36,삼진그룹 영어토익반,8.62
86,37,라라랜드,8.61
87,38,잠수종과 나비,8.59
88,39,기생충,8.49
89,40,아무르,8.48
90,41,로렌스 애니웨이 ,8.45
91,42,카페 벨에포크,8.42
92,43,3:10 투 유마,8.42
93,44,복수는 나의 것,8.37
94,45,검객,8.37
95,46,주디,8.35
96,47,리스본행 야간열차,8.31
97,48,테넷,8.27
98,49,경계선,8.17
99,50,야구소녀,8.17
100,1,포드 V 페라리,9.49
101,2,소년시절의 너,9.40
102,3,브레이크 더 사일런스: 더 무비,9.36
103,4,다시 태어나도 우리,9.34
104,5,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.34
105,6,"미안해요, 리키",9.33
106,7,패왕별희 디 오리지널,9.32
107,8,언더독,9.30
108,9,공동경비구역 JSA,9.27
109,10,우리들,9.26
110,11,피아니스트의 전설,9.25
111,12,스파이더맨: 뉴 유니버스,9.20
112,13,톰보이,9.20
113,14,스타 이즈 본,9.18
114,15,조조 래빗,9.16
115,16,제리 맥과이어,9.16
116,17,나이브스 아웃,9.11
117,18,타오르는 여인의 초상,9.06
118,19,올드보이,9.05
119,20,박하사탕,9.03
120,21,서칭 포 슈가맨,9.03
121,22,인생 후르츠,9.02
122,23,남매의 여름밤,9.02
123,24,온워드: 단 하루의 기적,9.00
124,25,미스터트롯: 더 무비,8.99
125,26,윤희에게,8.98
126,27,아웃포스트,8.95
127,28,비투스,8.94
128,29,담보,8.85
129,30,작은 아씨들,8.84
130,31,아멜리에,8.82
131,32,미드웨이,8.80
132,33,너의 이름은.,8.78
133,34,본 투 비 블루,8.73
134,35,마미,8.69
135,36,찬실이는 복도 많지,8.68
136,37,69세,8.63
137,38,삼진그룹 영어토익반,8.61
138,39,라라랜드,8.61
139,40,잠수종과 나비,8.59
140,41,기생충,8.49
141,42,로렌스 애니웨이 ,8.45
142,43,카페 벨에포크,8.42
143,44,3:10 투 유마,8.42
144,45,복수는 나의 것,8.37
145,46,검객,8.37
146,47,주디,8.35
147,48,리스본행 야간열차,8.31
148,49,테넷,8.27
149,50,경계선,8.17
150,1,포드 V 페라리,9.49
151,2,소년시절의 너,9.40
152,3,브레이크 더 사일런스: 더 무비,9.36
