,메뉴,설명
1,눈 내린 딸기 몽블랑,촉촉한 몽블랑에 연유 생크림과 딸기를 더해 더욱 상큼 달콤한 제품
2,눈 내린 초코 몽블랑,촉촉한 몽블랑에 초코 생크림과 초콜릿 코팅을 입혀 달콤함이 한 층 더 진한 제품
3,빨간코 루돌프,"귀여운 모양에 한 번, 진한 바닐라 우유크림의 달콤한 맛에 두번 반하는 제품"
4,크리스마스 브레드,크림치즈와 곡물빵의 조화로 달콤 고소한 크리스마스 리스 모양의 제품
5,마담 얼그레이 크림번,부드러운 생크림과 얼그레이 토핑을 더한 빵이 은은하게 어우러져 향긋한 홍차향을 느낄 수 있...
6,알알이 카라멜 마끼아또,은은한 커피향이 나는 부드러운 빵 속에 부드러운 우유크림과 달콤한 카라멜 드리즐을 더한 빵...
7,요즘 설탕 누룽지,바삭한 패스트리에 고소한 현미 누룽지를 듬뿍 올리고 달콤한 설탕 가루를 솔솔 뿌려 할매입맛...
8,햄&치즈누룽지 파니니,쫄깃하고 담백한 빵에 짭짤한 햄과 아삭한 양파를 넣고 고소한 치즈를 누룽지처럼 납짝하게 눌...
9,빙글빙글 앙버터,A.O.P 인증 레스큐어 버터와 달콤한 통팥 앙금을 샌드한 귀여운 모양의 앙버터 제품
10,못난이 감자치즈,쫀득한 감자 반죽 속에 달콤한 감자 치즈 필링이 들어있는 단짠조합! 모양까지 감자를 닮은 ...
11,앙!호두 버터 샌드,호두 소보로로 고소함을 더한 패스트리 속에 달콤함 통팥앙금과 호두 버터크림을 듬뿍 샌드한 ...
12,마구마구 고구마,촉촉하고 부드러운 빵에 달콤한 고구마 크림과 고구마가 듬뿍 들어간 간식용 제품
13,베이컨 포테이토 포카치아,"감자가 들어가 폭신폭신 포카치아에 화이트 소스와 베이컨,  감자 슬라이스를 토핑한 든든한 ..."
14,고구마가 꿀이구마,버터 풍미가 가득한 바삭한 패스트리에 고구마와 고구마 페이스트로 맛을 더한 퀴니아망
15,굿브레드,포근하고 쫄깃한 식감과 담백한 맛이 좋으며 다양하기 즐기기 좋은 식사빵
16,쫄.고.달 연유 팥절미,달콤한 연유와 통팥앙금을 넣은 쫄깃한 빵에 고소한 땅콩가루를 더한 맛있는 도넛
17,쏙쏙 토스트,스크램블 에그와 햄이 쏙쏙 들어가 한번 맛보면 멈출 수 없는 마성의 토스트
18,달콤한 카라멜 애플 파이,에어프라이어(오븐)으로 집에서 간편하게 갓 구워 더욱 바삭하게 즐기는 달콤한 카라멜 애플 ...
19,매콤한 토마토 치킨 파이,"에어프라이어(오븐)으로 집에서 간편하게 전문가처럼 구울 수 있는 갓 구워 HOT하고, 매콤..."
20,롱 치즈스틱,달달하고 바삭한 패스트리 속에 짭짤한 크림치즈가 가득한 단짠매력
21,겹겹이 연유크림 데니쉬,겹겹이 결이 살아있는 데니쉬에 달콤한 연유크림을 듬뿍 샌드한 간식용 빵
